Nom_du_POI,Categories_de_POI,Latitude,Longitude,Adresse_postale,Code_postal_et_commune,Covid19_mesures_specifiques,Covid19_est_en_activite,Covid19_periodes_d_ouvertures_confirmees,Createur_de_la_donnee,SIT_diffuseur,Date_de_mise_a_jour,Contacts_du_POI,Classements_du_POI,Description,URI_ID_du_POI
Itinéraire des Villages Perchés Parcours 1,https://www.datatourisme.gouv.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.gouv.fr/ontology/core#PointOfInterest|https://www.datatourisme.gouv.fr/ontology/core#SportsAndLeisurePlace|https://www.datatourisme.gouv.fr/ontology/core#Tour|https://www.datatourisme.gouv.fr/ontology/core#RoadTour|http://purl.org/ontology/olo/core#OrderedList,44.461865,6.055326999999999,,05130#Tallard,,True,False,Office de Tourisme Gap Tallard Vallées,Apidae Tourisme Scic SA - source : Apidae Tourisme,2016-09-09,#+33 4 92 54 04 29#info@gap-tallard-vallees.fr#https://www.gap-tallard-vallees.fr/,,"14 villages entre Montagne et Provence. Des itinéraires mêlant nature, culture, agriculture au travers de superbes panoramas !
N° 1 : 49km - environ 1h20 de route :
Tallard, Lettret, Jarjayes, Gap, La Freissinouse,  Pelleautier, Neffes, Châteauvieux.",https://data.datatourisme.gouv.fr/13/e48a0fd8-ca56-3207-a870-782afc452a97
Itinéraire des Villages Perchés Parcours 3,https://www.datatourisme.gouv.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.gouv.fr/ontology/core#PointOfInterest|https://www.datatourisme.gouv.fr/ontology/core#SportsAndLeisurePlace|https://www.datatourisme.gouv.fr/ontology/core#Tour|https://www.datatourisme.gouv.fr/ontology/core#RoadTour|http://purl.org/ontology/olo/core#OrderedList,44.461865,6.055326999999999,,05130#Tallard,,True,False,Office de Tourisme Gap Tallard Vallées,Apidae Tourisme Scic SA - source : Apidae Tourisme,2016-09-09,#+33 4 92 54 04 29#info@gap-tallard-vallees.fr#https://www.gap-tallard-vallees.fr/,,"14 villages entre Montagne et Provence. Des itinéraires mêlant nature, culture, agriculture au travers de superbes panoramas !
N° 3 : 28km - environ 50mn de route :
Tallard, Châteauvieux, Neffes, Pelleautier, Sigoyer,  Fouillouse.",https://data.datatourisme.gouv.fr/13/cb30ae34-8732-3916-9da3-e40ef6257ee5
Itinéraire des Villages Perchés Parcours 2,https://www.datatourisme.gouv.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.gouv.fr/ontology/core#PointOfInterest|https://www.datatourisme.gouv.fr/ontology/core#SportsAndLeisurePlace|https://www.datatourisme.gouv.fr/ontology/core#Tour|https://www.datatourisme.gouv.fr/ontology/core#RoadTour|http://purl.org/ontology/olo/core#OrderedList,44.461865,6.055326999999999,,05130#Tallard,,True,False,Office de Tourisme Gap Tallard Vallées,Apidae Tourisme Scic SA - source : Apidae Tourisme,2016-09-09,#+33 4 92 54 04 29#info@gap-tallard-vallees.fr#https://www.gap-tallard-vallees.fr/,,"14 villages entre Montagne et Provence. Des itinéraires mêlant nature, culture, agriculture au travers de superbes panoramas !
N° 2 : 63km - environ 1h50 de route :
Tallard, Sigoyer, Lardier, Vitrolle, Barcillonnette,  Esparron, La Saulce, Fouillouse.",https://data.datatourisme.gouv.fr/13/8adfcd4d-91e4-39b5-a9d9-80ee9cd162b3
Boucle du Bachelard,https://www.datatourisme.gouv.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.gouv.fr/ontology/core#PointOfInterest|https://www.datatourisme.gouv.fr/ontology/core#SportsAndLeisurePlace|https://www.datatourisme.gouv.fr/ontology/core#Tour|https://www.datatourisme.gouv.fr/ontology/core#WalkingTour|https://www.datatourisme.gouv.fr/ontology/core#EducationalTrail|http://purl.org/ontology/olo/core#OrderedList,44.375135,6.626428999999999,,04400#Uvernet-Fours,,True,True,Ubaye Tourisme,Apidae Tourisme Scic SA - source : Apidae Tourisme,2021-01-29,#+33 4 92 84 10 04#info@praloup.com#,,"Cet itinéraire familial permet de découvrir l’ancien moulin du Bachelard, une zone humide ombragée, un joli point de vue sur les hameaux et quelques secrets du paysage d’Uvernet.",https://data.datatourisme.gouv.fr/13/0a9ea60c-87de-331b-be3a-6d10d8192827
La Route des Crêtes,https://www.datatourisme.gouv.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.gouv.fr/ontology/core#PointOfInterest|https://www.datatourisme.gouv.fr/ontology/core#SportsAndLeisurePlace|https://www.datatourisme.gouv.fr/ontology/core#Tour|https://www.datatourisme.gouv.fr/ontology/core#RoadTour|http://purl.org/ontology/olo/core#OrderedList,43.779676,6.35686,,04120#La Palud-sur-Verdon,,True,True,Verdon Tourisme,Apidae Tourisme Scic SA - source : Apidae Tourisme,2021-08-25,#+33 4 92 77 32 02#lapaludsurverdon@verdontourisme.com#http://www.lapalud-verdontourisme.com/,,Cette route panoramique de 24 km à La Palud sur Verdon vous entraîne à travers un circuit parcourant les crêtes du Grand Canyon. Les 14 Belvédères dévoilent les falaises mythiques du Verdon et offrent des points de vue inoubliables sur le Grand Canyon.,https://data.datatourisme.gouv.fr/13/9193d8cc-bcdb-305e-9336-27a757d38a7d
Arboretum,https://www.datatourisme.gouv.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.gouv.fr/ontology/core#PointOfInterest|https://www.datatourisme.gouv.fr/ontology/core#SportsAndLeisurePlace|https://www.datatourisme.gouv.fr/ontology/core#Tour|https://www.datatourisme.gouv.fr/ontology/core#WalkingTour|https://www.datatourisme.gouv.fr/ontology/core#EducationalTrail|http://purl.org/ontology/olo/core#OrderedList,44.399413,6.510279,,04340#Méolans-Revel,,True,True,Ubaye Tourisme,Apidae Tourisme Scic SA - source : Apidae Tourisme,2018-10-22,#+33 4 92 37 25 40<>+33 6 73 41 06 49#maisondubois@ubaye.com#http://www.maisondubois.fr/,,"Partez à la découverte des arbres, arbustes et arbrisseaux du paysage forestier de la Vallée de l’Ubaye Serre-Ponçon. Feuillus et conifères n’auront plus de secret pour vous !",https://data.datatourisme.gouv.fr/13/d5cc3296-0d94-35ed-8e49-7bc2f35d455b
La randonnée de Rasteau par Terra Rando,https://www.datatourisme.gouv.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.gouv.fr/ontology/core#PointOfInterest|https://www.datatourisme.gouv.fr/ontology/core#SportsAndLeisurePlace|https://www.datatourisme.gouv.fr/ontology/core#Tour|https://www.datatourisme.gouv.fr/ontology/core#WalkingTour|http://purl.org/ontology/olo/core#OrderedList,44.231277,4.986897,,84110#Rasteau,,True,False,Office de tourisme du Pays de Vaison Ventoux en Provence,Apidae Tourisme Scic SA - source : Apidae Tourisme,2020-03-27,##terrarando@gmail.com#https://terrarando.com/,,"La randonnée de Rasteau vous fait découvrir de superbes panoramas sur le nord Vaucluse, les Dentelles de Montmirail avec comme toile de fond le Mont Ventoux.",https://data.datatourisme.gouv.fr/13/f288b416-9b1e-323d-a9dd-86891206cf2e
Sentier botanique des gorges de Saint-Pierre,https://www.datatourisme.gouv.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.gouv.fr/ontology/core#PointOfInterest|https://www.datatourisme.gouv.fr/ontology/core#SportsAndLeisurePlace|https://www.datatourisme.gouv.fr/ontology/core#Tour|https://www.datatourisme.gouv.fr/ontology/core#WalkingTour|https://www.datatourisme.gouv.fr/ontology/core#EducationalTrail|http://purl.org/ontology/olo/core#OrderedList,44.125431,6.613764,,04370#Beauvezer,,True,True,Verdon Tourisme,Apidae Tourisme Scic SA - source : Apidae Tourisme,2021-01-21,#+33 4 92 83 41 92##,,"Chapelle Saint-Pierre, sentier botanique de l'Ermite",https://data.datatourisme.gouv.fr/13/d9eed5c9-7527-3392-86c1-e0b9a17a1ed5
La route des cadrans solaires,https://www.datatourisme.gouv.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.gouv.fr/ontology/core#PointOfInterest|https://www.datatourisme.gouv.fr/ontology/core#SportsAndLeisurePlace|https://www.datatourisme.gouv.fr/ontology/core#Tour|https://www.datatourisme.gouv.fr/ontology/core#RoadTour|http://purl.org/ontology/olo/core#OrderedList,44.194795,5.942953,,05300#Laragne-Montéglin,,True,True,Office de Tourisme Sisteron Buëch,Apidae Tourisme Scic SA - source : Apidae Tourisme,2021-02-17,#+33 4 92 61 36 50##http://www.sisteron-buech.fr/,,"Découvrez la route des cadrans solaires à travers le Sisteron Buëch selon un itinéraire libre, à l'aide d'une carte et à votre rythme ! La route des cadrans solaires parcourt les Hautes-Alpes avec plus de 400 cadrans anciens et contemporains.",https://data.datatourisme.gouv.fr/13/ca1b565a-276e-3c9f-9ca4-355b1ada199a
Le Chemin des Statues,https://www.datatourisme.gouv.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.gouv.fr/ontology/core#PointOfInterest|https://www.datatourisme.gouv.fr/ontology/core#SportsAndLeisurePlace|https://www.datatourisme.gouv.fr/ontology/core#Tour|https://www.datatourisme.gouv.fr/ontology/core#WalkingTour|https://www.datatourisme.gouv.fr/ontology/core#EducationalTrail|http://purl.org/ontology/olo/core#OrderedList,44.315272,5.821642,,05300#Laragne-Montéglin,,True,False,Office de Tourisme Sisteron Buëch,Apidae Tourisme Scic SA - source : Apidae Tourisme,2018-09-01,#+33 4 92 65 09 38#laragne@sisteron-buech.fr#http://www.sisteron-buech.fr/,,"Flânez dans Laragne et les villages alentours à la découverte des statues réalisées dans le cadre des successifs Symposium de Sculpture sur Gypse, un matériau, recyclable à l’infini et qui occupe une place importante dans la région.",https://data.datatourisme.gouv.fr/13/b11e63b3-909d-3669-bc76-6e203c063659
Sentier découverte du lac de Mison Upaix,https://www.datatourisme.gouv.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.gouv.fr/ontology/core#PointOfInterest|https://www.datatourisme.gouv.fr/ontology/core#SportsAndLeisurePlace|https://www.datatourisme.gouv.fr/ontology/core#Tour|https://www.datatourisme.gouv.fr/ontology/core#WalkingTour|https://www.datatourisme.gouv.fr/ontology/core#EducationalTrail|http://purl.org/ontology/olo/core#OrderedList,44.317725,5.873687,,05300#Upaix,,True,True,Agence régionale pour la biodiversité et l'environnement Provence-Alpes-Côte d'Azur (ARBE),Apidae Tourisme Scic SA - source : Apidae Tourisme,2021-08-20,#+33 4 86 15 35 55#alain.tomasini@cg05.fr#,,Partez à la découverte de cette zone humide riche en oiseaux !,https://data.datatourisme.gouv.fr/13/1b3b321b-f53a-3a3a-80dc-401591eb0935
Parcours de l'eau,https://www.datatourisme.gouv.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.gouv.fr/ontology/core#PointOfInterest|https://www.datatourisme.gouv.fr/ontology/core#SportsAndLeisurePlace|https://www.datatourisme.gouv.fr/ontology/core#Tour|https://www.datatourisme.gouv.fr/ontology/core#WalkingTour|https://www.datatourisme.gouv.fr/ontology/core#EducationalTrail|http://purl.org/ontology/olo/core#OrderedList,44.091567,6.2309790000000005,,04000#Digne-les-Bains,,True,False,Office de Tourisme Provence Alpes Digne les Bains,Apidae Tourisme Scic SA - source : Apidae Tourisme,2016-12-22,#+33 4 92 36 62 62##http://www.dignelesbains-tourisme.com/,,"Digne les Bains est une ville thermale et une ville d'eau. Le parcours de l'eau vous propose de découvrir l'histoire et les usages de ses fontaines et lavoirs, mais aussi du puits médiéval Saint-Charles ou encore de la Glacière.",https://data.datatourisme.gouv.fr/13/11e2c431-9fc9-3310-b653-d46ff89b8457
Le Col du Galibier en vélo électrique,https://www.datatourisme.gouv.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.gouv.fr/ontology/core#PointOfInterest|https://www.datatourisme.gouv.fr/ontology/core#SportsAndLeisurePlace|https://www.datatourisme.gouv.fr/ontology/core#CyclingTour|https://www.datatourisme.gouv.fr/ontology/core#Tour|http://purl.org/ontology/olo/core#OrderedList,45.044671,6.304021,,05320#La Grave,,True,True,Oisans Tourisme,Apidae Tourisme Scic SA - source : Apidae Tourisme,2021-08-19,#+33 4 76 79 90 05#lagrave@hautesvallees.com#https://www.bike-oisans.com/,,"La guest star des cols alpins, le col du Galibier et ses 2642 mètres vous attend depuis la Grave ou Villar d'Arène, un panorama à 360 °, le passage au col du Lautaret et le jardin alpin, voici un itinéraire à parcourir à toutes pédales !",https://data.datatourisme.gouv.fr/13/97e79bf3-368a-3d70-97f4-1771dd76fbae
Les hameaux de La Grave en vélo électrique,https://www.datatourisme.gouv.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.gouv.fr/ontology/core#PointOfInterest|https://www.datatourisme.gouv.fr/ontology/core#SportsAndLeisurePlace|https://www.datatourisme.gouv.fr/ontology/core#CyclingTour|https://www.datatourisme.gouv.fr/ontology/core#Tour|http://purl.org/ontology/olo/core#OrderedList,45.046065999999996,6.306682,,05320#La Grave,,True,True,Oisans Tourisme,Apidae Tourisme Scic SA - source : Apidae Tourisme,2021-08-19,#+33 4 76 79 90 05#lagrave@hautesvallees.com#https://www.bike-oisans.com/,,"Départ depuis la Grave ou vous ferez face à l’imposant pic de la Meije et ses 3 983 m d’altitude. Découvrez ses maisons de pierres et d’ardoises, en passant par Ventelon, le hameau de Valfroide...le paradis est au bout de vos pédales !",https://data.datatourisme.gouv.fr/13/dd7eb16b-7e85-35d3-9253-bb5badf4d3ed
Au pays de la Meije (Circuit n°16),https://www.datatourisme.gouv.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.gouv.fr/ontology/core#PointOfInterest|https://www.datatourisme.gouv.fr/ontology/core#SportsAndLeisurePlace|https://www.datatourisme.gouv.fr/ontology/core#Tour|https://www.datatourisme.gouv.fr/ontology/core#RoadTour|http://purl.org/ontology/olo/core#OrderedList,45.045842,6.3047059999999995,,05320#La Grave,,True,True,Oisans Tourisme,Apidae Tourisme Scic SA - source : Apidae Tourisme,2020-09-03,#+33 4 76 79 90 05#lagrave@hautesvallees.com#https://www.lagrave-lameije.com/,,"Le village de La Grave, temple de l’alpinisme et du ski hors piste, est connu dans le monde entier. Pourtant ce village n’a été relié au reste du monde par la route qu’à la seconde moitié du XIXe siècle, à cause d’un tracé particulièrement retors.",https://data.datatourisme.gouv.fr/13/95cd4707-325d-328d-87e8-38372adbed72
Les hameaux de Villar d'Arène en vélo électrique,https://www.datatourisme.gouv.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.gouv.fr/ontology/core#PointOfInterest|https://www.datatourisme.gouv.fr/ontology/core#SportsAndLeisurePlace|https://www.datatourisme.gouv.fr/ontology/core#CyclingTour|https://www.datatourisme.gouv.fr/ontology/core#Tour|http://purl.org/ontology/olo/core#OrderedList,45.04221,6.3316040000000005,,05480#Villar-d'Arêne,,True,True,Oisans Tourisme,Apidae Tourisme Scic SA - source : Apidae Tourisme,2021-08-19,#+33 4 76 79 90 05#lagrave@hautesvallees.com#https://www.bike-oisans.com/,,"Lors de ce petit périple, vous partirez à la découverte de Villar d'Arêne, ses hameaux et de son environnement montagnard exceptionnel au pied des mythiques et prestigieux sommets des Ecrins et aux portes du Parc National des Ecrins dont elle fait partie.",https://data.datatourisme.gouv.fr/13/ebaa1d00-3247-3cf8-8eb7-b9d30058dcc7
La grande boucle des cols (Circuit n°17),https://www.datatourisme.gouv.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.gouv.fr/ontology/core#PointOfInterest|https://www.datatourisme.gouv.fr/ontology/core#SportsAndLeisurePlace|https://www.datatourisme.gouv.fr/ontology/core#Tour|https://www.datatourisme.gouv.fr/ontology/core#RoadTour|http://purl.org/ontology/olo/core#OrderedList,45.042959,6.335053,,05480#Villar-d'Arêne,,True,True,Oisans Tourisme,Apidae Tourisme Scic SA - source : Apidae Tourisme,2020-09-03,#+33 4 76 79 90 05#lagrave@hautesvallees.com#https://www.lagrave-lameije.com/,,"Cet itinéraire long et insolite est emprunté par les coureurs du Tour de France. Au menu : les cols du Lautaret, du Galibier, du Télégraphe et de la Croix de Fer. De véritables géants de la route qui vous sont servis sur un plateau !",https://data.datatourisme.gouv.fr/13/e4d004da-ccd2-3d4a-bb4c-bb3192175b18
Parcours 1 - Ristolas - Aiguilles Le Gouret,https://www.datatourisme.gouv.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.gouv.fr/ontology/core#PointOfInterest|https://www.datatourisme.gouv.fr/ontology/core#SportsAndLeisurePlace|https://www.datatourisme.gouv.fr/ontology/core#Tour|https://www.datatourisme.gouv.fr/ontology/core#FluvialTour|http://purl.org/ontology/olo/core#OrderedList,44.775037,6.954611999999999,,05460#Abriès-Ristolas,,True,True,Office de tourisme du Guillestrois et du Queyras,Apidae Tourisme Scic SA - source : Apidae Tourisme,2021-03-22,#+33 4 92 46 76 18#info@guillestroisqueyras.com#https://www.lequeyras.com/,,"Classe II / III
Parcours large et ouvert, alternant gravière et petits passages avec
obstacles. Reconnaissance possible depuis la route d’accès.",https://data.datatourisme.gouv.fr/13/d79247a9-3919-3a76-a49e-b3595ef99230
Parcours 7 - St Crépin - St Clément sur Durance,https://www.datatourisme.gouv.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.gouv.fr/ontology/core#PointOfInterest|https://www.datatourisme.gouv.fr/ontology/core#SportsAndLeisurePlace|https://www.datatourisme.gouv.fr/ontology/core#Tour|https://www.datatourisme.gouv.fr/ontology/core#FluvialTour|http://purl.org/ontology/olo/core#OrderedList,44.705636,6.601151,,05600#Saint-Crépin,,True,True,Office de tourisme du Guillestrois et du Queyras,Apidae Tourisme Scic SA - source : Apidae Tourisme,2021-03-22,#+33 4 92 46 76 18#info@guillestroisqueyras.com#https://www.lequeyras.com/,,"Classe II 
Parcours large sans difficulté particulière. Gravières, bons trains de vagues par bonnes eaux. Possibilité de débarquement intermédiaire : plan d’eau d’Eygliers.",https://data.datatourisme.gouv.fr/13/0f09a785-6399-3c08-bb01-1756908306f6
Géocaching dans le Veynois,https://www.datatourisme.gouv.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.gouv.fr/ontology/core#PointOfInterest|https://www.datatourisme.gouv.fr/ontology/core#SportsAndLeisurePlace|https://www.datatourisme.gouv.fr/ontology/core#Tour|https://www.datatourisme.gouv.fr/ontology/core#WalkingTour|https://www.datatourisme.gouv.fr/ontology/core#EducationalTrail|http://purl.org/ontology/olo/core#OrderedList,44.532049,5.8159089999999996,,05400#Veynes,,True,False,Office de Tourisme des Sources du Buëch,Apidae Tourisme Scic SA - source : Apidae Tourisme,2018-01-26,#+33 4 92 57 27 43##https://www.geocaching.com/seek/nearest.aspx?origin_lat=44.5342&origin_long=5.82361&dist=31.06855,,"Si vous aimez les chasses aux trésors, la découverte du patrimoine et la randonnée pédestre alors vous allez adorer le géocaching ! Un mélange de toutes ses activités pour découvrir le Veynois de façon ludique et amusante.",https://data.datatourisme.gouv.fr/13/c905aa06-d1c0-33ca-9b68-07eba9ad8860
Sentiers découverte du Parc de la Grande Corniche,https://www.datatourisme.gouv.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.gouv.fr/ontology/core#PointOfInterest|https://www.datatourisme.gouv.fr/ontology/core#SportsAndLeisurePlace|https://www.datatourisme.gouv.fr/ontology/core#Tour|https://www.datatourisme.gouv.fr/ontology/core#WalkingTour|https://www.datatourisme.gouv.fr/ontology/core#EducationalTrail|http://purl.org/ontology/olo/core#OrderedList,43.736998,7.370032000000001,,06360#Èze,,True,True,Agence régionale pour la biodiversité et l'environnement Provence-Alpes-Côte d'Azur (ARBE),Apidae Tourisme Scic SA - source : Apidae Tourisme,2021-01-20,#+33 4 89 04 54 80##https://www.departement06.fr/,,Venez découvrir et comprendre toutes les richesses de la nature en arpentant l'un des trois sentiers découverte du Parc !,https://data.datatourisme.gouv.fr/13/e91f7b59-d016-35e7-a17d-ac0361e071d1
Route des Gorges du Verdon,https://www.datatourisme.gouv.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.gouv.fr/ontology/core#PointOfInterest|https://www.datatourisme.gouv.fr/ontology/core#SportsAndLeisurePlace|https://www.datatourisme.gouv.fr/ontology/core#Tour|https://www.datatourisme.gouv.fr/ontology/core#RoadTour|http://purl.org/ontology/olo/core#OrderedList,43.833702,5.783405999999999,,04500#Riez,,True,True,Office de Tourisme Communautaire Durance Luberon Verdon Agglomération,Apidae Tourisme Scic SA - source : Apidae Tourisme,2021-07-21,###https://www.durance-luberon-verdon.com/<>https://coq-trotteur.com/fr/duranceluberonverdon,,"Itinéraire touristique « Les Gorges du Verdon » : Partez à la découverte des Gorges du Verdon, ce célèbre et magnifique canyon, unique en Europe, résultant de la lente érosion causée par le passage du Verdon.",https://data.datatourisme.gouv.fr/13/31391bbf-08aa-3cb6-8122-727da3d8a26a
Route du Verdon inattendu,https://www.datatourisme.gouv.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.gouv.fr/ontology/core#PointOfInterest|https://www.datatourisme.gouv.fr/ontology/core#SportsAndLeisurePlace|https://www.datatourisme.gouv.fr/ontology/core#Tour|https://www.datatourisme.gouv.fr/ontology/core#RoadTour|http://purl.org/ontology/olo/core#OrderedList,43.816457,6.091984,,04500#Riez,,True,True,Office de Tourisme Communautaire Durance Luberon Verdon Agglomération,Apidae Tourisme Scic SA - source : Apidae Tourisme,2021-07-27,###https://www.durance-luberon-verdon.com/<>https://coq-trotteur.com/fr/duranceluberonverdon,,"Itinéraire touristique « Le Verdon Inattendu» : Découvrez la face caché du Verdon entre lacs et gorges. Un paysage sauvage, authentique.",https://data.datatourisme.gouv.fr/13/2537781a-8ff1-3195-afbc-a4c8d38482e3
Sentier de la Voie Royale dans le massif de la Sainte-Baume,https://www.datatourisme.gouv.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.gouv.fr/ontology/core#PointOfInterest|https://www.datatourisme.gouv.fr/ontology/core#SportsAndLeisurePlace|https://www.datatourisme.gouv.fr/ontology/core#Tour|https://www.datatourisme.gouv.fr/ontology/core#WalkingTour|https://www.datatourisme.gouv.fr/ontology/core#EducationalTrail|http://purl.org/ontology/olo/core#OrderedList,43.335464,5.760381,,83640#Plan-d'Aups-Sainte-Baume,,True,True,Agence régionale pour la biodiversité et l'environnement Provence-Alpes-Côte d'Azur (ARBE),Apidae Tourisme Scic SA - source : Apidae Tourisme,2020-06-03,##christian.vacquie@onf.fr#http://www.handitourismepaca.fr/detail-hebergement.asp?n=234,,Immergez-vous dans la forêt calme et reposante de la Sainte-Baume...,https://data.datatourisme.gouv.fr/13/1a79bde5-9172-3388-9104-0b2eb2544327
Itinéraire touristique - La route du Patrimoine Juif,https://www.datatourisme.gouv.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.gouv.fr/ontology/core#PointOfInterest|https://www.datatourisme.gouv.fr/ontology/core#SportsAndLeisurePlace|https://www.datatourisme.gouv.fr/ontology/core#Tour|https://www.datatourisme.gouv.fr/ontology/core#RoadTour|http://purl.org/ontology/olo/core#OrderedList,43.94492,4.838529,,84000#Avignon,,True,False,Vaucluse Provence Attractivité,Apidae Tourisme Scic SA - source : Apidae Tourisme,2020-03-18,##l.moreau@vaucluseprovence.com#,,"De Cavaillon à Carpentras, en passant par Pernes les Fontaines et l’Isle sur la Sorgue, découverte des « carrières » (rues) juives, des synagogues, mikvés (bains juifs), cimetières et musées.",https://data.datatourisme.gouv.fr/13/eb07c5d7-f4a5-34fb-8cd9-326336ac9ba7
Route des Vins - itinéraire Azur des Côtes du Rhône,https://www.datatourisme.gouv.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.gouv.fr/ontology/core#PointOfInterest|https://www.datatourisme.gouv.fr/ontology/core#SportsAndLeisurePlace|https://www.datatourisme.gouv.fr/ontology/core#Tour|https://www.datatourisme.gouv.fr/ontology/core#RoadTour|http://purl.org/ontology/olo/core#OrderedList,43.94492,4.838529,,84000#Avignon,,True,False,Office de Tourisme Avignon Tourisme,Apidae Tourisme Scic SA - source : Apidae Tourisme,2017-06-16,,,La Route Touristique des Côtes du Rhône,https://data.datatourisme.gouv.fr/13/307587d6-fa3e-3a27-9ea2-98711e5c23d0
Promenade historique dans les ruelles du Vieux Village,https://www.datatourisme.gouv.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.gouv.fr/ontology/core#PointOfInterest|https://www.datatourisme.gouv.fr/ontology/core#SportsAndLeisurePlace|https://www.datatourisme.gouv.fr/ontology/core#Tour|https://www.datatourisme.gouv.fr/ontology/core#WalkingTour|https://www.datatourisme.gouv.fr/ontology/core#EducationalTrail|http://purl.org/ontology/olo/core#OrderedList,43.655322,6.132904,,83630#Régusse,,True,True,Office de Tourisme Intercommunal Lacs et Gorges du Verdon,Apidae Tourisme Scic SA - source : Apidae Tourisme,2021-02-18,#+33 4 94 70 19 01#amr83630@gmail.fr#,,"Procurez-vous le dépliant au bureau d'information touristique. Le départ du circuit se situe Place de l'Horloge.

La visite peut commencer  à l'aide du plan légendé de 1 à 13 :",https://data.datatourisme.gouv.fr/13/81a0eaf2-e95b-3c19-a142-377f6b65baea
Route du Mimosa,https://www.datatourisme.gouv.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.gouv.fr/ontology/core#PointOfInterest|https://www.datatourisme.gouv.fr/ontology/core#SportsAndLeisurePlace|https://www.datatourisme.gouv.fr/ontology/core#Tour|https://www.datatourisme.gouv.fr/ontology/core#RoadTour|http://purl.org/ontology/olo/core#OrderedList,43.657993,6.920017999999999,,06130#Grasse,,True,True,Tourisme Pays de Grasse,Apidae Tourisme Scic SA - source : Apidae Tourisme,2021-03-19,#+33 4 93 36 66 66#info@paysdegrassetourisme.fr#https://routedumimosa.com/,,"Ce parcours touristique, recommandé de janvier à mars, est typiquement le symbole d’une Côte d’Azur hivernale qui propose sous un climat doux, une sorte de villégiature itinérante entre bleu azur et jaune soleil…",https://data.datatourisme.gouv.fr/13/2886d834-7281-3bb6-986e-f2eb781357a4
La Route Napoléon,https://www.datatourisme.gouv.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.gouv.fr/ontology/core#PointOfInterest|https://www.datatourisme.gouv.fr/ontology/core#SportsAndLeisurePlace|https://www.datatourisme.gouv.fr/ontology/core#Tour|https://www.datatourisme.gouv.fr/ontology/core#RoadTour|http://purl.org/ontology/olo/core#OrderedList,43.667198,6.919707000000001,,06130#Grasse,,True,True,Tourisme Pays de Grasse,Apidae Tourisme Scic SA - source : Apidae Tourisme,2021-04-19,#+33 4 93 36 66 66#info@paysdegrassetourisme.fr#https://www.paysdegrassetourisme.fr/,,"La Route Napoléon retrace le souvenir de l'épopée fantastique de Napoléon en 1815…
Longue aujourd’hui de 324 km, elle traverse des paysages d’exception et propose ainsi un périple entre mer et montagne...",https://data.datatourisme.gouv.fr/13/a4eb8602-edce-3b0c-85e3-c9492569947b
Parcours 2 - Aiguilles Les Ribes - Château-Queyras,https://www.datatourisme.gouv.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.gouv.fr/ontology/core#PointOfInterest|https://www.datatourisme.gouv.fr/ontology/core#SportsAndLeisurePlace|https://www.datatourisme.gouv.fr/ontology/core#Tour|https://www.datatourisme.gouv.fr/ontology/core#FluvialTour|http://purl.org/ontology/olo/core#OrderedList,44.777906,6.865442999999999,,05470#Aiguilles,,True,True,Office de tourisme du Guillestrois et du Queyras,Apidae Tourisme Scic SA - source : Apidae Tourisme,2021-03-22,#+33 4 92 46 76 18#info@guillestroisqueyras.com#https://www.lequeyras.com/,,"Classe II / III 
Alternance de gravières et grilles techniques, milieu du parcours
encaissé et engagé. Reconnaissance possible depuis la route d’accès.",https://data.datatourisme.gouv.fr/13/82b9cf69-05ee-339d-95e6-0724d25ecc44
